,County,Date,Sale (Dollars),Volume Sold (Gallons),Population,Poverty Count,Total Poverty Rate (%)
0,Adair,2016,444516.75,9185.85,7330.0,687.0,9.372442019099589
1,Adams,2016,87589.49,1705.5187230000001,3822.0,368.0,9.628466771323914
2,Allamakee,2016,874783.34,18458.6,14001.0,1388.0,9.913577601599886
3,Appanoose,2016,874227.75,16732.31,12602.0,1998.0,15.854626249801619
4,Audubon,2016,149960.23,3537.52,5793.0,651.0,11.237700673226307
5,Benton,2016,787686.81,16822.53,25720.0,2324.0,9.035769828926906
6,Black Hawk,2016,16597788.07,291648.51,132821.0,19605.0,14.760467094811814
7,Boone,2016,1771037.83,35409.63,26411.0,2659.0,10.06777479080686
8,Bremer,2016,1803740.25,36478.2,24663.0,1677.0,6.799659408831043
9,Buchanan,2016,1318221.94,26554.73,21031.0,1905.0,9.058057153725454
10,Buena Vista,2016,1969587.97,35907.08,20445.0,2575.0,12.594766446563952
11,Butler,2016,306725.56,7248.96,14933.0,1289.0,8.631889104667515
12,Calhoun,2016,332610.75,7376.22,9876.0,1364.0,13.81125961927906
13,Carroll,2016,2454183.7,46813.61,20555.0,1899.0,9.238628071028948
14,Cass,2016,964386.99,19563.62,13433.0,1985.0,14.777041613935829
15,Cedar,2016,530618.97,10991.15,18389.0,1162.0,6.318995051389417
16,Cerro Gordo,2016,5856263.34,115340.75,43303.0,5422.0,12.521072443017804
17,Cherokee,2016,730575.4,15079.94,11752.0,1321.0,11.240639891082369
18,Chickasaw,2016,351669.56,7877.34,12164.0,1073.0,8.821111476487998
19,Clarke,2016,629439.27,12051.05,9273.0,1454.0,15.679930982422086
20,Clay,2016,1542832.6,31814.98,16478.0,1907.0,11.573006432819517
21,Clayton,2016,692145.06,13849.6,17735.0,1841.0,10.380603326755004
22,Clinton,2016,3367836.08,65270.93,47972.0,6405.0,13.351538397398482
23,Crawford,2016,1343656.14,26305.32,17147.0,3681.0,21.467312066250656
24,Dallas,2016,5950648.31,93335.42,78074.0,4424.0,5.6664190383482325
25,Davis,2016,103752.42,2201.733141,8768.0,1617.0,18.442062043795623
26,Decatur,2016,166888.81,3119.4,8210.0,1552.0,18.90377588306943
27,Delaware,2016,981768.92,19691.05,17445.0,1645.0,9.42963599885354
28,Des Moines,2016,3814812.63,65839.16,40114.0,6574.0,16.388293363912847
29,Dickinson,2016,4166258.96,78392.84,17046.0,1153.0,6.7640502170597205
30,Dubuque,2016,8643327.62,157516.03,96359.0,11616.0,12.05491962349132
31,Emmet,2016,507570.83,10729.23,9820.0,1223.0,12.45417515274949
32,Fayette,2016,1331258.59,29739.02,20391.0,2581.0,12.657544995341082
33,Floyd,2016,1243442.33,24274.9,16004.0,2219.0,13.865283679080232
34,Franklin,2016,364422.49,7510.33,10393.0,1509.0,14.519388049648802
35,Fremont,2016,28026.76,524.8503862,7019.0,713.0,10.158142185496509
36,Greene,2016,548339.48,10694.93,9083.0,950.0,10.459099416492348
37,Grundy,2016,354333.26,7847.5,12373.0,722.0,5.835286510951265
38,Guthrie,2016,289602.39,5725.15,10691.0,1116.0,10.438686745861004
39,Hamilton,2016,853522.97,17719.14,15227.0,1612.0,10.586458264924149
40,Hancock,2016,336054.05,7874.63,11006.0,1026.0,9.32218789751045
41,Hardin,2016,1866759.81,38328.47,17324.0,1328.0,7.66566612791503
42,Harrison,2016,297884.98,6127.8,14335.0,1474.0,10.282525287757238
43,Henry,2016,1150796.64,21259.05,19941.0,2508.0,12.57710245223409
44,Howard,2016,461298.59,10152.27,9430.0,1063.0,11.272534464475081
45,Humboldt,2016,644993.97,13610.9,9607.0,1286.0,13.38607265535547
46,Ida,2016,617160.2,11894.3,7041.0,760.0,10.793921317994602
47,Iowa,2016,1076691.06,21763.47,16326.0,1575.0,9.647188533627343
48,Jackson,2016,1263474.49,25273.08,19529.0,2653.0,13.584924983358082
49,Jasper,2016,1629547.93,33985.33,36715.0,3227.0,8.78932316491897
50,Jefferson,2016,951708.45,16889.22,17662.0,2504.0,14.177329860717926
51,Johnson,2016,17425355.41,290109.63,142006.0,23911.0,16.838020928693155
52,Jones,2016,946890.23,20207.58,20481.0,2034.0,9.931155705287829
53,Keokuk,2016,124942.79,2891.15,10234.0,1296.0,12.663670119210474
54,Kossuth,2016,1588307.68,32083.99,15226.0,1454.0,9.549454879810849
55,Lee,2016,3615973.21,64146.0,35172.0,5615.0,15.964403502786308
56,Linn,2016,25044781.44,455061.2,218076.0,19912.0,9.130761752783432
57,Louisa,2016,187124.29,3549.21,11251.0,1392.0,12.3722335792374
58,Lucas,2016,438895.02,8520.28,8700.0,910.0,10.459770114942527
59,Lyon,2016,716999.76,13988.06,11730.0,675.0,5.7544757033248075
60,Madison,2016,814317.09,16341.21,15661.0,1054.0,6.730093863737947
61,Mahaska,2016,976645.11,19052.58,22324.0,3010.0,13.483246729976704
62,Marion,2016,2117785.84,39300.12,33197.0,3108.0,9.362291773353014
63,Marshall,2016,3134197.52,55936.51,40735.0,4267.0,10.475021480299496
64,Mills,2016,398494.45,8026.94,14841.0,1203.0,8.105922781483727
65,Mitchell,2016,468619.74,10296.55,10757.0,970.0,9.017384029004367
66,Monona,2016,547588.22,10382.92,9013.0,1273.0,14.124043048929325
67,Monroe,2016,335795.21,6475.15,7964.0,1032.0,12.958312405826216
68,Montgomery,2016,675611.92,13025.55,10380.0,1529.0,14.730250481695569
69,Muscatine,2016,3047039.54,57094.77,42949.0,4802.0,11.180702693892755
70,O'Brien,2016,1269987.26,26695.39,14055.0,1278.0,9.092849519743863
71,Osceola,2016,249352.19,5175.28,6154.0,631.0,10.253493662658434
72,Page,2016,1053482.96,20214.96,15552.0,2193.0,14.10108024691358
73,Palo Alto,2016,622452.09,13007.37,9155.0,797.0,8.705625341343527
74,Plymouth,2016,1685404.57,31948.95,24972.0,2111.0,8.453467884030111
75,Pocahontas,2016,351880.93,8092.79,7061.0,885.0,12.533635462399097
76,Polk,2016,65849028.78,1089776.96,459159.0,55972.0,12.190112793171865
77,Pottawattamie,2016,10047761.08,175754.6073,93198.0,10668.0,11.446597566471386
78,Poweshiek,2016,1420084.09,26772.72,18622.0,1687.0,9.059177317151756
79,Ringgold,2016,155237.6,3318.07,5054.0,533.0,10.546102097348637
80,Sac,2016,563812.83,12007.8,10034.0,997.0,9.936216862666932
81,Scott,2016,20649645.24,349170.29,171116.0,20413.0,11.929334486547136
82,Shelby,2016,542853.6,10719.19,11944.0,1174.0,9.829202947086404
83,Sioux,2016,1580037.83,30581.53,34621.0,2444.0,7.0592992692296574
84,Story,2016,8885365.17,162743.62,94834.0,19039.0,20.076133032456717
85,Tama,2016,690144.83,14233.76,17423.0,2195.0,12.598289617172707
86,Taylor,2016,126983.64,2550.72321,6209.0,802.0,12.916733773554515
87,Union,2016,1056974.67,20132.03,12539.0,1585.0,12.640561448281364
88,Van Buren,2016,204713.22,3830.5,7380.0,1060.0,14.363143631436314
89,Wapello,2016,2223595.06,42000.39,35242.0,6033.0,17.118778729924518
90,Warren,2016,2350388.58,45648.49,48170.0,3402.0,7.062487025119369
91,Washington,2016,1579903.79,28112.4,22115.0,1947.0,8.803979199638253
92,Wayne,2016,101186.67,2069.321707,6403.0,924.0,14.430735592690926
93,Webster,2016,3278531.61,61313.01,37050.0,5362.0,14.472334682861
94,Winnebago,2016,767220.15,16535.15,10580.0,1023.0,9.669187145557656
95,Winneshiek,2016,1364180.11,27116.2,20789.0,1472.0,7.080667660782144
96,Woodbury,2016,9847904.96,169892.28,102426.0,14084.0,13.75041493370824
97,Worth,2016,237102.4,5325.91,7562.0,775.0,10.248611478444856
98,Wright,2016,627832.68,13316.08,12891.0,1625.0,12.60569389496548
