,City,State,Zip Code,Total Poverty Rate (%),lat,lng
0,Ackworth,Iowa,50001,19.03485254691689,,
1,Adair,Iowa,50002,11.157311157311158,,
2,Adel,Iowa,50003,6.964964119881808,,
3,Albion,Iowa,50005,1.8719211822660096,,
4,Alden,Iowa,50006,9.500308451573103,,
5,Alleman,Iowa,50007,0.5725190839694656,,
6,Allerton,Iowa,50008,14.585414585414586,,
7,Altoona,Iowa,50009,5.721730067743616,,
8,Ames,Iowa,50010,19.974344878138172,,
9,Ames,Iowa,50011,0.0,,
10,Ames,Iowa,50012,0.2500520941862888,,
11,Ames,Iowa,50014,33.43292500746938,,
12,Anita,Iowa,50020,14.406065711878686,,
13,Ankeny,Iowa,50021,6.359097563722362,,
14,Atlantic,Iowa,50022,15.428851095069131,,
15,Ankeny,Iowa,50023,7.4584336995476175,,
16,Audubon,Iowa,50025,10.331384015594542,,
17,Bagley,Iowa,50026,10.45016077170418,,
18,Barnes City,Iowa,50027,13.754646840148695,,
19,Baxter,Iowa,50028,5.0614605929139564,,
20,Bayard,Iowa,50029,13.227513227513228,,
21,Berwick,Iowa,50032,59.25925925925926,,
22,Bevington,Iowa,50033,0.0,,
23,Blairsburg,Iowa,50034,3.601108033240997,,
24,Bondurant,Iowa,50035,4.163162321278385,,
25,Boone,Iowa,50036,9.710349916979276,,
26,Booneville,Iowa,50038,57.352941176470594,,
27,Bouton,Iowa,50039,2.380952380952381,,
28,Bradford,Iowa,50041,0.0,,
29,Brayton,Iowa,50042,6.779661016949151,,
30,Bussey,Iowa,50044,19.9438202247191,,
31,Cambridge,Iowa,50046,9.365179132620993,,
32,Carlisle,Iowa,50047,3.9824502193722577,,
33,Casey,Iowa,50048,13.892365456821027,,
34,Chariton,Iowa,50049,9.762492288710671,,
35,Churdan,Iowa,50050,8.744710860366714,,
36,Clemons,Iowa,50051,21.26984126984127,,
37,Clio,Iowa,50052,6.428571428571429,,
38,Colfax,Iowa,50054,8.649719379333114,,
39,Collins,Iowa,50055,4.6875,,
40,Colo,Iowa,50056,6.9405099150141645,,
41,Columbia,Iowa,50057,7.894736842105262,,
42,Coon Rapids,Iowa,50058,13.914299470389984,,
43,Corydon,Iowa,50060,18.189070602313517,,
44,Cumming,Iowa,50061,0.4181184668989547,,
45,Melcher Dallas,Iowa,50062,17.872340425531913,,
46,Dallas Center,Iowa,50063,3.8345864661654137,,
47,Dana,Iowa,50064,12.087912087912088,,
48,Davis City,Iowa,50065,35.06711409395973,,
49,Dawson,Iowa,50066,1.99203187250996,,
50,Decatur,Iowa,50067,12.987012987012987,,
51,Derby,Iowa,50068,16.216216216216218,,
52,De Soto,Iowa,50069,3.435114503816794,,
53,Dexter,Iowa,50070,5.917553191489363,,
54,Dows,Iowa,50071,6.584362139917697,,
55,Earlham,Iowa,50072,5.529157667386608,,
56,Elkhart,Iowa,50073,12.745869394177813,,
57,Ellston,Iowa,50074,6.607929515418503,,
58,Ellsworth,Iowa,50075,5.203619909502263,,
59,Exira,Iowa,50076,12.235746316463803,,
60,Ferguson,Iowa,50078,14.189189189189188,,
61,Galt,Iowa,50101,4.545454545454546,,
62,Garden City,Iowa,50102,16.483516483516482,,
63,Garden Grove,Iowa,50103,22.92682926829268,,
64,Gibson,Iowa,50104,1.2658227848101269,,
65,Gilbert,Iowa,50105,8.688387635756056,,
66,Gilman,Iowa,50106,7.723577235772357,,
67,Grand Junction,Iowa,50107,17.647058823529417,,
68,Grand River,Iowa,50108,24.390243902439018,,
69,Granger,Iowa,50109,6.156837329876863,,
70,Grimes,Iowa,50111,3.290480563207836,,
71,Grinnell,Iowa,50112,10.225485055060304,,
72,Guthrie Center,Iowa,50115,12.411479686917632,,
73,Hamilton,Iowa,50116,18.103448275862068,,
74,Hamlin,Iowa,50117,40.86021505376344,,
75,Hartford,Iowa,50118,7.662082514734774,,
76,Harvey,Iowa,50119,16.33109619686801,,
77,Haverhill,Iowa,50120,3.125,,
78,Hubbard,Iowa,50122,5.234795996920708,,
79,Humeston,Iowa,50123,8.095952023988007,,
80,Huxley,Iowa,50124,8.102766798418973,,
81,Indianola,Iowa,50125,8.013780707010186,,
82,Iowa Falls,Iowa,50126,6.5935651421151364,,
83,Ira,Iowa,50127,0.0,,
