State,County,Population,Poverty Count,Total Poverty Rate (%)
 Iowa,Adair County,7628.0,739.0,9.687991609858416
 Iowa,Adams County,4027.0,445.0,11.050409734293519
 Iowa,Allamakee County,14285.0,1534.0,10.738536926846342
 Iowa,Appanoose County,12858.0,1803.0,14.022398506766216
 Iowa,Audubon County,6077.0,630.0,10.366957380286326
 Iowa,Benton County,26044.0,2015.0,7.736906773153126
 Iowa,Black Hawk County,130843.0,20539.0,15.697438915341287
 Iowa,Boone County,26324.0,2310.0,8.775262118219116
 Iowa,Bremer County,24294.0,1698.0,6.989380093850333
 Iowa,Buchanan County,20988.0,2219.0,10.572708214217649
 Iowa,Buena Vista County,20215.0,2403.0,11.8872124659906
 Iowa,Butler County,14899.0,1487.0,9.980535606416538
 Iowa,Calhoun County,9936.0,1290.0,12.983091787439614
 Iowa,Carroll County,20751.0,1955.0,9.421232711676545
 Iowa,Cass County,13865.0,1735.0,12.513523260007213
 Iowa,Cedar County,18446.0,1502.0,8.142686761357476
 Iowa,Cerro Gordo County,44083.0,6199.0,14.062110110473425
 Iowa,Cherokee County,12011.0,793.0,6.602281242194655
 Iowa,Chickasaw County,12409.0,1237.0,9.968571198323797
 Iowa,Clarke County,9286.0,1121.0,12.071936248115442
 Iowa,Clay County,16649.0,1682.0,10.102708871403689
 Iowa,Clayton County,18056.0,2274.0,12.594151528577758
 Iowa,Clinton County,49074.0,6399.0,13.039491380364348
 Iowa,Crawford County,17100.0,2497.0,14.602339181286549
 Iowa,Dallas County,66997.0,4629.0,6.909264593937042
 Iowa,Davis County,8718.0,1453.0,16.666666666666668
 Iowa,Decatur County,8382.0,1512.0,18.0386542591267
 Iowa,Delaware County,17721.0,1355.0,7.646295355792563
 Iowa,Des Moines County,40268.0,5724.0,14.214761100625807
 Iowa,Dickinson County,16778.0,1295.0,7.718440815353439
 Iowa,Dubuque County,93776.0,9248.0,9.861798327930387
 Iowa,Emmet County,10263.0,998.0,9.72425216798207
 Iowa,Fayette County,20894.0,2562.0,12.261893366516704
 Iowa,Floyd County,16204.0,1951.0,12.040236978523822
 Iowa,Franklin County,10650.0,1222.0,11.474178403755868
 Iowa,Fremont County,7373.0,654.0,8.87020208870202
 Iowa,Greene County,9304.0,1042.0,11.199484092863285
 Iowa,Grundy County,12431.0,804.0,6.46770171345829
 Iowa,Guthrie County,10915.0,982.0,8.996793403573065
 Iowa,Hamilton County,15614.0,1788.0,11.451261688228513
 Iowa,Hancock County,11320.0,1071.0,9.46113074204947
 Iowa,Hardin County,17479.0,1591.0,9.102351393100292
 Iowa,Harrison County,14838.0,1429.0,9.630677988947298
 Iowa,Henry County,20242.0,3304.0,16.322497776899517
 Iowa,Howard County,9568.0,1045.0,10.921822742474916
 Iowa,Humboldt County,9818.0,1071.0,10.908535343247097
 Iowa,Ida County,7113.0,898.0,12.624771545058344
 Iowa,Iowa County,16320.0,1578.0,9.669117647058824
 Iowa,Jackson County,19807.0,2404.0,12.137123239258848
 Iowa,Jasper County,36823.0,4376.0,11.883876924748119
 Iowa,Jefferson County,16791.0,2287.0,13.620391876600559
 Iowa,Johnson County,131627.0,21737.0,16.514089054677232
 Iowa,Jones County,20686.0,1655.0,8.000580102484772
 Iowa,Keokuk County,10480.0,1236.0,11.793893129770993
 Iowa,Kossuth County,15510.0,1266.0,8.16247582205029
 Iowa,Lee County,35741.0,5087.0,14.232953750594556
 Iowa,Linn County,211954.0,20662.0,9.748341621295186
 Iowa,Louisa County,11448.0,1328.0,11.600279524807826
 Iowa,Lucas County,8913.0,1533.0,17.19959609559071
 Iowa,Lyon County,11623.0,1058.0,9.102641314634775
 Iowa,Madison County,15630.0,1410.0,9.021113243761997
 Iowa,Mahaska County,22432.0,3562.0,15.879101283880171
 Iowa,Marion County,33388.0,2866.0,8.5839223673176
 Iowa,Marshall County,40568.0,5088.0,12.541904949714061
 Iowa,Mills County,15028.0,1120.0,7.452754857599149
 Iowa,Mitchell County,10761.0,749.0,6.960319672892854
