Zip Code,Population,Poverty Count,Total Poverty Rate (%)
50001,866.0,49.0,5.658198614318707
50002,1479.0,191.0,12.914131169709263
50003,6506.0,354.0,5.441131263449124
50005,849.0,48.0,5.6537102473498235
50006,1655.0,153.0,9.244712990936556
50007,710.0,26.0,3.6619718309859155
50008,867.0,117.0,13.494809688581315
50009,16367.0,955.0,5.834911712592412
50010,29522.0,6000.0,20.323826299031232
50011,1952.0,0.0,0.0
50012,3611.0,0.0,0.0
50014,27746.0,8700.0,31.355871116557342
50020,1627.0,70.0,4.30239704978488
50021,21132.0,1371.0,6.487791027825099
50022,8273.0,1232.0,14.891816753293847
50023,28105.0,1181.0,4.202099270592421
50025,3325.0,403.0,12.1203007518797
50026,594.0,169.0,28.45117845117845
50027,359.0,73.0,20.33426183844011
50028,1756.0,115.0,6.548974943052392
50029,713.0,86.0,12.0617110799439
50032,414.0,136.0,32.85024154589372
50033,29.0,3.0,10.344827586206897
50034,367.0,15.0,4.087193460490464
50035,5545.0,170.0,3.065825067628494
50036,16258.0,1532.0,9.42305326608439
50038,192.0,83.0,43.229166666666664
50039,454.0,58.0,12.775330396475772
50041,67.0,0.0,0.0
50042,319.0,52.0,16.300940438871475
50044,1092.0,77.0,7.051282051282051
50046,1445.0,86.0,5.951557093425605
50047,5480.0,402.0,7.335766423357664
50048,862.0,63.0,7.3085846867749416
50049,6481.0,1220.0,18.824255516124055
50050,589.0,87.0,14.770797962648556
50051,312.0,14.0,4.487179487179487
50052,245.0,26.0,10.612244897959183
50054,3646.0,390.0,10.696653867251783
50055,857.0,96.0,11.201866977829638
50056,1367.0,102.0,7.461594732991953
50057,228.0,0.0,0.0
50058,1997.0,182.0,9.113670505758638
50060,2473.0,337.0,13.62717347351395
50061,1788.0,20.0,1.1185682326621924
50062,672.0,81.0,12.053571428571429
50063,2870.0,155.0,5.400696864111498
50064,101.0,2.0,1.9801980198019802
50065,581.0,127.0,21.858864027538726
50066,258.0,78.0,30.232558139534884
50067,422.0,104.0,24.644549763033176
50068,470.0,57.0,12.127659574468085
50069,1263.0,106.0,8.392715756136184
50070,1424.0,40.0,2.808988764044944
50071,924.0,57.0,6.1688311688311686
50072,2878.0,187.0,6.497567755385685
50073,955.0,38.0,3.979057591623037
50074,304.0,42.0,13.81578947368421
50075,934.0,23.0,2.462526766595289
50076,1430.0,120.0,8.391608391608392
50078,128.0,3.0,2.34375
50101,59.0,2.0,3.389830508474576
50102,52.0,0.0,0.0
50103,471.0,43.0,9.129511677282379
50104,138.0,27.0,19.565217391304348
50105,1276.0,74.0,5.799373040752351
50106,879.0,89.0,10.12514220705347
50107,1116.0,261.0,23.387096774193548
50108,551.0,53.0,9.618874773139746
50109,2685.0,147.0,5.4748603351955305
50111,9649.0,363.0,3.7620478806093898
50112,11701.0,1296.0,11.075976412272455
50115,2864.0,297.0,10.370111731843576
50116,180.0,3.0,1.6666666666666667
50117,216.0,9.0,4.166666666666667
50118,903.0,62.0,6.866002214839424
50119,498.0,42.0,8.433734939759036
50120,296.0,22.0,7.4324324324324325
50122,1510.0,29.0,1.9205298013245033
50123,775.0,87.0,11.225806451612904
50124,3728.0,201.0,5.391630901287554
50125,19536.0,1728.0,8.845208845208845
50126,6822.0,565.0,8.282028730577544
50127,0.0,0.0,
50128,368.0,21.0,5.706521739130435
50129,5230.0,529.0,10.114722753346081
50130,1514.0,82.0,5.416116248348745
50131,17364.0,943.0,5.4307763188205485
50132,313.0,18.0,5.7507987220447285
50133,522.0,30.0,5.747126436781609
50134,573.0,19.0,3.3158813263525304
50135,1659.0,160.0,9.644364074743821
50136,401.0,26.0,6.483790523690773
50138,11700.0,1421.0,12.145299145299145
50139,1391.0,142.0,10.208483105679367
50140,3074.0,480.0,15.614834092387769
50141,541.0,39.0,7.208872458410351
50142,934.0,22.0,2.355460385438972
50143,633.0,54.0,8.530805687203792
50144,2696.0,533.0,19.770029673590503
50146,380.0,6.0,1.5789473684210527
50147,365.0,76.0,20.82191780821918
50148,368.0,116.0,31.52173913043478
50149,878.0,146.0,16.62870159453303
50150,1164.0,123.0,10.56701030927835
50151,660.0,37.0,5.606060606060606
50153,903.0,37.0,4.097452934662237
50154,571.0,62.0,10.85814360770578
50155,254.0,23.0,9.05511811023622
50156,4213.0,302.0,7.168288630429623
50157,620.0,57.0,9.193548387096774
50158,31524.0,4257.0,13.50399695470118
50160,493.0,25.0,5.070993914807302
50161,2013.0,151.0,7.501241927471436
50162,1210.0,52.0,4.297520661157025
50163,955.0,91.0,9.528795811518325
50164,578.0,39.0,6.747404844290657
50165,75.0,18.0,24.0
50166,1650.0,84.0,5.090909090909091
50167,549.0,5.0,0.9107468123861566
50168,792.0,80.0,10.1010101010101
50169,3651.0,336.0,9.202958093672967
50170,2790.0,171.0,6.129032258064516
50171,2951.0,208.0,7.048458149779735
50173,783.0,43.0,5.491698595146871
50174,1345.0,183.0,13.605947955390334
50201,8021.0,490.0,6.108963969579853
50206,423.0,48.0,11.347517730496454
50207,2473.0,284.0,11.484027496967247
50208,20550.0,3068.0,14.929440389294404
50210,1647.0,76.0,4.61445051608986
50211,11385.0,442.0,3.8823012736056213
50212,3448.0,163.0,4.72737819025522
50213,6877.0,847.0,12.316417042314963
50214,656.0,0.0,0.0
50216,2707.0,97.0,3.583302548947174
50217,722.0,58.0,8.033240997229917
50218,84.0,0.0,0.0
50219,14335.0,863.0,6.020230205790025
50220,8985.0,1424.0,15.848636616583194
50222,628.0,24.0,3.821656050955414
50223,498.0,58.0,11.646586345381525
50225,2864.0,239.0,8.344972067039107
50226,5018.0,36.0,0.7174172977281785
50227,21.0,0.0,0.0
50228,1916.0,184.0,9.603340292275574
50229,783.0,15.0,1.9157088122605364
50230,1125.0,228.0,20.266666666666666
50231,144.0,1.0,0.6944444444444444
50232,449.0,68.0,15.144766146993318
50233,1214.0,213.0,17.54530477759473
50234,525.0,83.0,15.80952380952381
50235,500.0,139.0,27.8
50236,1635.0,129.0,7.889908256880734
50237,2827.0,83.0,2.9359745313052708
50238,1086.0,186.0,17.12707182320442
50239,199.0,23.0,11.557788944723619
50240,2673.0,242.0,9.053497942386832
50242,413.0,30.0,7.263922518159807
50243,225.0,6.0,2.6666666666666665
50244,1991.0,96.0,4.821697639377198
50246,706.0,78.0,11.048158640226628
50247,2250.0,300.0,13.333333333333334
50248,4555.0,237.0,5.203073545554336
50249,1230.0,68.0,5.528455284552845
50250,2510.0,339.0,13.50597609561753
50251,1211.0,31.0,2.559867877786953
50252,129.0,3.0,2.3255813953488373
50254,339.0,36.0,10.619469026548673
50255,52.0,4.0,7.6923076923076925
50256,630.0,50.0,7.936507936507937
50257,822.0,32.0,3.8929440389294405
50258,1035.0,65.0,6.280193236714976
50261,2565.0,75.0,2.9239766081871346
50262,410.0,110.0,26.829268292682926
50263,16195.0,1050.0,6.48348255634455
50264,383.0,11.0,2.8720626631853787
50265,31733.0,1987.0,6.261620395172218
50266,23905.0,1577.0,6.596946245555323
50268,1060.0,223.0,21.037735849056602
50271,861.0,69.0,8.013937282229966
50272,133.0,38.0,28.571428571428573
50273,8284.0,1049.0,12.662964751327861
50274,376.0,14.0,3.723404255319149
50275,633.0,79.0,12.480252764612954
50276,2608.0,238.0,9.125766871165645
50277,333.0,16.0,4.804804804804805
50278,928.0,59.0,6.357758620689655
50309,5315.0,1510.0,28.410159924741297
50310,30029.0,4171.0,13.889906423790336
50311,15013.0,2864.0,19.076800106574304
50312,15373.0,2012.0,13.087881350419567
50313,17542.0,2235.0,12.740850530156196
50314,12006.0,3502.0,29.168748958853907
50315,35930.0,5903.0,16.429167826328975
50316,16976.0,3732.0,21.98397737983035
50317,35686.0,5788.0,16.2192456425489
50319,0.0,0.0,
50320,20259.0,3402.0,16.79253665037761
50321,8156.0,810.0,9.931338891613535
50322,31085.0,1589.0,5.1117902525333765
50323,10331.0,431.0,4.171909786080728
50324,4857.0,360.0,7.4119827053736875
50325,15658.0,517.0,3.3018265423425723
50327,10268.0,662.0,6.447214647448384
50401,29617.0,4536.0,15.315528243913969
50420,297.0,53.0,17.845117845117844
50421,2729.0,147.0,5.3865884939538295
50423,3072.0,272.0,8.854166666666666
50424,1483.0,167.0,11.260957518543494
50426,54.0,0.0,0.0
50428,9283.0,1245.0,13.411612625228914
50430,463.0,43.0,9.287257019438444
50431,414.0,96.0,23.18840579710145
50432,209.0,16.0,7.655502392344498
50433,242.0,9.0,3.71900826446281
50434,413.0,3.0,0.7263922518159807
50435,517.0,40.0,7.7369439071566735
50436,5733.0,501.0,8.738880167451596
50438,3918.0,350.0,8.933129147524246
50439,468.0,24.0,5.128205128205129
50440,407.0,6.0,1.4742014742014742
50441,5834.0,701.0,12.015769626328419
50444,408.0,161.0,39.46078431372549
50446,604.0,59.0,9.7682119205298
50447,1270.0,237.0,18.661417322834644
50448,611.0,37.0,6.055646481178396
50449,808.0,129.0,15.965346534653465
50450,2524.0,208.0,8.240887480190175
50451,471.0,42.0,8.9171974522293
50452,950.0,90.0,9.473684210526315
50453,754.0,38.0,5.039787798408488
50454,163.0,0.0,0.0
50455,413.0,70.0,16.949152542372882
50456,1749.0,175.0,10.005717552887365
50457,473.0,110.0,23.25581395348837
50458,2039.0,250.0,12.260912211868563
50459,2947.0,373.0,12.656939260264675
50460,169.0,4.0,2.366863905325444
50461,5642.0,384.0,6.806097128677774
50464,776.0,67.0,8.6340206185567
50465,250.0,11.0,4.4
50466,1985.0,131.0,6.599496221662468
50467,67.0,0.0,0.0
50468,1663.0,157.0,9.440769693325315
50469,1482.0,61.0,4.116059379217274
50470,262.0,68.0,25.954198473282442
50471,735.0,38.0,5.170068027210885
50472,2568.0,205.0,7.982866043613707
50473,228.0,10.0,4.385964912280702
50475,1686.0,183.0,10.854092526690392
50476,748.0,42.0,5.614973262032086
50477,393.0,22.0,5.597964376590331
50478,1017.0,148.0,14.552605703048181
50479,656.0,52.0,7.926829268292683
50480,777.0,32.0,4.1184041184041185
50482,895.0,20.0,2.2346368715083798
50483,833.0,49.0,5.882352941176471
50484,389.0,56.0,14.395886889460154
50501,28659.0,4287.0,14.958651732440071
50510,1035.0,92.0,8.88888888888889
50511,7006.0,685.0,9.777333713959463
50514,1541.0,82.0,5.321219987021415
50515,222.0,30.0,13.513513513513514
50516,616.0,9.0,1.4610389610389611
50517,1200.0,152.0,12.666666666666666
50518,443.0,3.0,0.6772009029345373
50519,592.0,95.0,16.0472972972973
50520,137.0,12.0,8.75912408759124
50521,41.0,0.0,0.0
50522,753.0,103.0,13.678618857901727
50523,793.0,80.0,10.08827238335435
50524,462.0,23.0,4.978354978354979
50525,3590.0,424.0,11.81058495821727
50527,221.0,1.0,0.45248868778280543
50528,508.0,6.0,1.1811023622047243
50529,779.0,56.0,7.188703465982028
50530,1315.0,126.0,9.581749049429657
50531,291.0,11.0,3.7800687285223367
