,Address,City,Status,State,Zip Code,lat,lng
0,200 State Po Box 98,Guthrie Center,A,IA,50115,41.6785755,-94.5018286
1,1111 8TH ST,Boone,A,IA,50036,42.0647497,-93.87610959999999
2,3140 Agency,Burlington,A,IA,52601,40.8161699,-91.1366513
3,939 Angular,Burlington,A,IA,52601,40.80131859999999,-91.11064739999999
4,"1843 Johnson Avenue, N.W.",Cedar Rapids,A,IA,52405,41.973912,-91.6983956
5,,Fairfield,A,IA,52556,41.00761139999999,-91.9636914
6,122 East Front Street,Brooklyn,A,IA,52211,41.7288481,-92.44432669999999
7,375 South Jordon Creek Parkway,West Des Moines,A,IA,50266,41.5634046,-93.8106005
8,830 North 18th Street,Centerville,A,IA,52544,40.7410156,-92.8685824
9,304 West Madison Street,Washington,A,IA,52353,41.2968327,-91.69469269999999
10,2480 East 53rd,Bettendorf,A,IA,52722,41.5752421,-90.5391746
11,1032 4th Street SW,Waverly,A,IA,50677,42.7157749,-92.47668190000002
12,51 E. Tower Park Drive,Waterloo,A,IA,50701,42.4567317,-92.3557225
13,1520 6th St SW,Cedar Rapids,A,IA,52404,41.96236649999999,-91.67781529999999
14,1720 Waterfront Dr,Iowa City,A,IA,52240,41.6424818,-91.52963849999999
15,812 S 1st Ave,Iowa City,A,IA,52240,41.6514259,-91.5010473
16,2400 4th St SW,Mason City,A,IA,50401,43.1495342,-93.23558059999999
17,1107 SE Army Post Rd,Des Moines,A,IA,50315,41.5252932,-93.6018371
18,802 South Center,Marshalltown,A,IA,50158,42.0390761,-92.9105738
19,310 N 1st St,Iowa City,A,IA,52245,41.6660632,-91.50134969999999
20,100 8th Street SW,Altoona,A,IA,50009,41.6434854,-93.4646411
21,910 N Jefferson,Indianola,A,IA,50125,41.3687865,-93.5564408
22,510 West Mclane,Osceola,A,IA,50213,41.0289998,-93.77319299999999
23,2001 West Court,Chariton,A,IA,50049,41.016031,-93.322952
24,20 Wilson Avenue West,Cedar Rapids,A,IA,52404,41.9571461,-91.65861079999999
25,600 Sheldon,Creston,A,IA,50801,41.0522662,-94.3734771
26,3019 Rockingham Road,Davenport,A,IA,52802,41.5100815,-90.6199724
27,3111 Main,Keokuk,A,IA,52632,40.4164797,-91.4025592
28,1033 Central Avenue,Estherville,A,IA,51334,43.4023366,-94.8299286
29,1700 E Washington,Mount Pleasant,A,IA,52641,40.9607267,-91.52948719999999
30,819 N Grand Ave,Spencer,A,IA,51301,43.1461383,-95.1472792
31,813 N Lincoln Ste 1,Knoxville,A,IA,50138,41.3250653,-93.1094608
32,2200 West Kimberly,Davenport,A,IA,52806,41.56135219999999,-90.6090189
33,1556 First Avenue NE,Cedar Rapids,A,IA,52402,41.9893789,-91.65155360000001
34,279 Collins Road NE,Cedar Rapids,A,IA,52402,42.0250328,-91.63099559999999
35,2181 Logan Ave,Waterloo,A,IA,50703,42.5305198,-92.33798200000001
36,6301 University,Cedar Falls,A,IA,50613,42.50906750000001,-92.468491
37,2400 2nd Ave,Muscatine,A,IA,52761,41.4505192,-91.03632259999999
38,2834 Ansborough Ave,Waterloo,A,IA,50702,42.471588,-92.37727420000002
39,1250 N Lake St,Storm Lake,A,IA,50588,42.65364599999999,-95.20140939999999
40,901 Kelly St,Charles City,A,IA,50616,43.0671389,-92.67486079999999
